topic_id	judgment	reason	input_sha256
T11198	plausible_placement	Cultural identity and Japanese society fit Cultural Studies; broad history/culture/literature words attract literary neighbours.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T12164	placement_candidate	Description centres on classroom teaching, teachers and professional development; Education has stronger subject support than Philosophy.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13823	plausible_placement	The description explicitly studies religion's effects on social structures; Sociology is defensible despite shared philosophy terms.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13575	plausible_placement	Historical travel and exploration are explicit; the literature plurality is below half and does not establish a wrong History parent.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T12470	unresolved	Vodou supports Religious studies while the description covers broader Caribbean culture; sampled papers are needed to establish the dominant subject.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13863	plausible_placement	The description studies historical events and memory; generic humanities overlap displaces a defensible History parent.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T11974	plausible_placement	DNA barcoding and molecular phylogenetics support Genetics; the neighbourhood prefers the taxonomy application.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13977	unresolved	Title and territorial-analysis terms support geography but the broad methods description favours education; metadata cannot settle the parent.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T12455	plausible_placement	The description specifically concerns vascular flora and plant families; general taxonomy terms attract animal-systematics neighbours.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T13023	plausible_placement	Drug discovery, anticancer activity and medicinal effects support Pharmacology; organic synthesis is an overlapping method.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
T14469	unresolved	Renaissance writers suggest Literature; Classics may cover reception of classical material, which these metadata do not establish.	c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
